3 3 0 2
3 4 5
3 3 3
2 4 4
0 1 1
1 2 2
0 2 12
3 3 0 2
3 4 5
3 4 3
2 4 4
0 1 1
1 2 2
0 2 12
4 4 0 3
5 5 5
10 10 10
5 5 20
5 5 5
0 1 5
0 2 5
1 2 20
2 3 5
4 4 0 2
5 5 5
5 5 5
5 5 5
5 5 5
0 1 5
1 2 10
0 3 10
3 2 10
4 4 0 3
5 5 5
10 10 10
5 5 20
5 5 5
0 1 5
0 2 5
1 2 20
2 3 5
4 4 0 3
5 5 5
5 5 5
5 5 20
5 5 5
0 1 5
0 2 5
1 2 10
2 3 5
4 4 0 3
5 5 5
10 10 10
5 5 21
5 5 5
0 1 5
0 2 5
1 2 20
2 3 5
4 4 0 3
5 5 5
5 5 5
5 5 21
5 5 5
0 1 5
0 2 5
1 2 10
2 3 5
5 7 4 0
23 51 16
59 7 44
53 2 52
25 22 23
15 19 11
2 3 57
1 3 25
0 2 19
2 4 25
3 4 96
0 4 89
3 0 37
10 24 2 4
23 16 31
5 44 31
6 28 7
56 54 23
13 40 27
48 43 25
55 4 52
38 59 28
49 46 25
52 48 2
2 8 23
1 9 14
6 4 8
7 9 18
1 0 27
3 9 54
2 7 75
8 1 37
8 9 77
8 5 1
9 0 21
8 7 16
0 3 83
4 5 20
7 1 49
9 5 52
7 4 83
6 1 13
6 5 96
4 1 41
8 4 36
3 8 83
5 7 51
7 6 72
50 628 49 7
15 35 44
40 45 39
27 55 55
47 5 28
24 47 60
19 60 48
23 45 51
19 60 58
43 24 15
36 59 23
5 18 48
4 5 19
32 31 56
47 37 59
44 49 16
60 47 23
32 44 10
11 7 35
58 27 43
3 46 31
37 39 11
11 12 20
5 12 9
54 16 33
24 2 32
8 2 13
33 27 34
25 6 60
43 19 4
52 14 48
44 47 41
33 3 10
32 31 18
55 25 1
14 22 48
33 8 42
45 17 15
2 9 30
48 57 14
44 7 5
48 42 32
40 42 54
32 46 59
44 39 24
30 46 38
37 49 47
6 38 6
22 48 4
45 12 56
22 39 23
33 5 85
26 44 21
11 49 23
6 21 18
15 45 57
46 36 16
21 30 95
34 0 19
28 48 88
22 26 56
47 31 24
9 25 94
47 22 46
11 21 55
31 48 19
8 35 18
11 22 54
17 36 79
38 18 82
36 33 38
40 27 27
27 24 84
1 29 8
9 0 15
30 37 57
21 0 14
42 21 91
3 40 99
41 14 68
42 26 54
47 7 93
1 23 8
44 38 68
24 38 48
38 31 33
41 40 84
40 16 94
39 47 22
42 23 8
20 34 17
15 44 20
25 22 12
31 17 45
9 30 100
46 26 97
15 33 18
7 21 39
37 29 54
20 15 1
43 34 82
3 1 64
28 3 38
20 41 22
0 18 58
36 39 38
47 36 30
45 34 30
19 20 43
5 38 65
25 16 50
34 12 41
32 48 61
7 46 52
18 2 60
49 3 91
5 23 60
21 27 37
45 37 66
16 28 41
16 22 100
13 5 75
45 38 9
49 7 76
30 47 13
28 47 82
34 44 70
19 16 64
49 24 22
22 10 38
2 17 58
46 9 32
43 9 33
13 1 78
13 15 38
39 16 93
17 46 53
18 28 46
45 18 72
9 37 30
25 7 88
20 2 12
46 23 48
2 0 92
16 47 97
12 32 66
44 6 47
40 20 79
40 13 66
11 44 56
49 40 14
12 47 25
45 25 90
22 44 72
15 38 55
11 17 3
23 12 57
7 20 38
20 24 69
5 2 36
33 48 75
21 46 78
23 3 30
14 15 38
28 41 81
9 7 28
2 14 74
14 11 55
4 47 75
9 4 52
20 0 39
34 10 60
10 45 35
8 5 11
2 37 73
4 39 3
3 39 2
3 9 47
24 35 84
8 10 29
19 32 4
42 40 44
8 45 33
16 12 61
8 0 11
28 13 61
41 45 18
25 5 57
37 19 42
30 8 6
21 34 71
20 18 83
19 6 42
20 49 80
43 6 13
3 24 49
32 26 53
15 23 28
24 25 20
22 5 49
19 35 48
13 49 63
32 44 61
27 18 15
9 35 89
44 24 15
28 35 48
8 20 3
45 0 41
12 28 35
6 46 57
49 39 82
40 23 54
21 35 3
31 14 33
34 39 75
17 40 90
11 38 1
26 16 63
41 42 22
38 39 98
17 15 77
12 38 56
23 25 71
45 6 68
49 26 37
31 7 5
6 24 61
18 39 76
13 34 96
4 18 95
24 7 39
4 24 63
26 9 72
27 3 88
37 35 32
17 3 42
13 27 5
13 20 66
29 2 89
27 1 76
37 46 81
25 34 31
42 45 42
12 39 14
32 36 73
47 24 18
23 2 8
35 47 39
14 7 5
2 48 96
38 35 3
13 9 98
3 14 11
39 0 45
13 21 27
14 47 81
45 11 75
37 44 93
13 31 28
46 28 13
41 46 45
10 28 42
18 31 20
2 22 52
16 49 24
47 9 5
5 1 79
11 3 30
17 9 29
38 48 15
18 40 64
38 42 84
47 40 86
44 3 92
4 44 59
