Case 1: -18 to 26
Case 2: 150 to 153
Case 3: 80338698 to 80338698
Case 4: 1109295 to 1109296
Case 5: 874367 to 874369
Case 6: -2 to 2
Case 7: -2 to 2
Case 8: 53 to 56
Case 9: -23 to 28
Case 10: -8 to 8
Case 11: -4 to 6
Case 12: -4 to 9
Case 13: 263 to 265
Case 14: 287 to 289
Case 15: 7 to 13
Case 16: -4 to 10
Case 17: -20 to 26
Case 18: 1 to 21
Case 19: 45 to 48
Case 20: 50 to 54
Case 21: 40 to 42
Case 22: -2 to 4
Case 23: -5 to 9
Case 24: -10 to 18
Case 25: -13 to 17
Case 26: -3 to 6
Case 27: -6 to 12
Case 28: 8 to 12
